Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%;EFA_WTW_100%
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;2688727813;0.007423429;416627655;;;1416626573;;;4166275787;;;0.19335942;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599625;0.01882598;416627655;;;0.087756261;;;4166275787;;;0.19335942;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3;348599625;0.00069088;416627655;;;0.087756261;;;4166275787;;;0.19335942;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;2688727813;0.007423429;1248871803;;;2216767788;;;1248863316;;;0.3382034;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599625;0.01882598;1248871803;;;0.260352999;;;1248863316;;;0.3382034;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3;348599625;0.00069088;1248871803;;;0.260352999;;;1248863316;;;0.3382034;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;2688727813;0.007423429;416627655;;;0.955499828;;;4166275787;;;0.299246997;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599625;0.01882598;416627655;;;0.973219097;;;4166275787;;;0.299246997;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3;348599625;0.00069088;416627655;;;0.973219097;;;4166275787;;;0.299246997;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;2688727813;0.007423429;1248871803;;;1434307933;;;1248863316;;;0.548087835;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599625;0.01882598;1248871803;;;1795179963;;;1248863316;;;0.548087835;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];pass. car;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;121931;PC diesel Euro-3 (DPF);diesel;not specified;PC D Euro-3;348599625;0.00069088;1248871803;;;1795179963;;;1248863316;;;0.548087835;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;222110;LCV diesel M+N1-I Euro-1;diesel;M+N1-I;LCV D Euro-1;3961751563;0.000276617;416627655;;;0.50085324;;;4166257095;;;0.147537246;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;222130;LCV diesel M+N1-I Euro-3;diesel;M+N1-I;LCV D Euro-3;3652527813;0.002307357;416627655;;;0.117293417;;;4166257095;;;0.147537246;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;222210;LCV diesel N1-II Euro-1;diesel;N1-II;LCV D Euro-1;295318625;0.0006989;416627655;;;0.811841011;;;4166257095;;;0.147537246;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;222230;LCV diesel N1-II Euro-3;diesel;N1-II;LCV D Euro-3;2591595625;0.004381684;416627655;;;0.047729764;;;4166257095;;;0.147537246;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;222310;LCV diesel N1-III Euro-1;diesel;N1-III;LCV D Euro-1;341894375;0.001994371;416627655;;;0.912703753;;;4166257095;;;0.147537246;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;222330;LCV diesel N1-III Euro-3;diesel;N1-III;LCV D Euro-3;3024719375;0.02366841;416627655;;;0.062415663;;;4166257095;;;0.147537246;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;222110;LCV diesel M+N1-I Euro-1;diesel;M+N1-I;LCV D Euro-1;3961751563;0.000276617;1247020912;;;0.898590863;;;1248837757;;;0.274742216;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;222130;LCV diesel M+N1-I Euro-3;diesel;M+N1-I;LCV D Euro-3;3652527813;0.002307357;124886837;;;0.230793834;;;1248837757;;;0.274742216;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;222210;LCV diesel N1-II Euro-1;diesel;N1-II;LCV D Euro-1;295318625;0.0006989;1248864841;;;1516790986;;;1248837757;;;0.274742216;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;222230;LCV diesel N1-II Euro-3;diesel;N1-II;LCV D Euro-3;2591595625;0.004381684;1248871803;;;0.10498292;;;1248837757;;;0.274742216;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;222310;LCV diesel N1-III Euro-1;diesel;N1-III;LCV D Euro-1;341894375;0.001994371;1248169613;;;165604043;;;1248837757;;;0.274742216;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;222330;LCV diesel N1-III Euro-3;diesel;N1-III;LCV D Euro-3;3024719375;0.02366841;1247808456;;;0.118038617;;;1248837757;;;0.274742216;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222110;LCV diesel M+N1-I Euro-1;diesel;M+N1-I;LCV D Euro-1;3961751563;0.000276617;416627655;;;0.701702178;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222130;LCV diesel M+N1-I Euro-3;diesel;M+N1-I;LCV D Euro-3;3652527813;0.002307357;416627655;;;1530691385;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222210;LCV diesel N1-II Euro-1;diesel;N1-II;LCV D Euro-1;295318625;0.0006989;416627655;;;0.894075811;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222230;LCV diesel N1-II Euro-3;diesel;N1-II;LCV D Euro-3;2591595625;0.004381684;416627655;;;125486958;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222310;LCV diesel N1-III Euro-1;diesel;N1-III;LCV D Euro-1;341894375;0.001994371;416627655;;;0.952462614;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/Freeflow;0;222330;LCV diesel N1-III Euro-3;diesel;N1-III;LCV D Euro-3;3024719375;0.02366841;416627655;;;1296797752;;;4166257095;;;0.601670265;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222110;LCV diesel M+N1-I Euro-1;diesel;M+N1-I;LCV D Euro-1;3961751563;0.000276617;1247020912;;;1301177263;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222130;LCV diesel M+N1-I Euro-3;diesel;M+N1-I;LCV D Euro-3;3652527813;0.002307357;124886837;;;2573143721;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222210;LCV diesel N1-II Euro-1;diesel;N1-II;LCV D Euro-1;295318625;0.0006989;1248864841;;;1634492159;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222230;LCV diesel N1-II Euro-3;diesel;N1-II;LCV D Euro-3;2591595625;0.004381684;1248871803;;;2147957563;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222310;LCV diesel N1-III Euro-1;diesel;N1-III;LCV D Euro-1;341894375;0.001994371;1248169613;;;1691872835;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];LCV;2020;REF D HB41;NOx;Urban;URB/Local/50/St+Go;0;222330;LCV diesel N1-III Euro-3;diesel;N1-III;LCV D Euro-3;3024719375;0.02366841;1247808456;;;2193641901;;;1248837757;;;0.998800278;;;ØGermany;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423110;RT <=7.5t Euro-I;diesel;RT ≤7.5t;HGV D Euro-I;790268;0.001992239;3818581009;3818581009;3818581009;1166544795;1172059655;1167422295;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423130;RT <=7.5t Euro-III;diesel;RT ≤7.5t;HGV D Euro-III;6860098125;0.016024211;3818581009;3818581009;3818581009;1146217823;1136229873;1162809372;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423210;RT >7.5-12t Euro-I;diesel;RT >7.5-12t;HGV D Euro-I;1007905438;0.000396565;3818097687;3818581009;3817131805;1189321756;1147903323;1246311665;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423230;RT >7.5-12t Euro-III;diesel;RT >7.5-12t;HGV D Euro-III;8709678125;0.003007169;3818574524;3818581009;3818561935;131182611;1288277745;1345042825;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423310;RT >12-14t Euro-I;diesel;RT >12-14t;HGV D Euro-I;3946534063;7.00E-05;3810468674;3818581009;379736824;1321156621;1210907817;1448180437;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423330;RT >12-14t Euro-III;diesel;RT >12-14t;HGV D Euro-III;3448577188;0.000289917;3818060303;3818581009;3817019653;1407048345;1346475959;1474163651;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423410;RT >14-20t Euro-I;diesel;RT >14-20t;HGV D Euro-I;7660401875;0.000115294;3808395386;381848526;3796131516;1350374818;1138409376;1587086201;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423430;RT >14-20t Euro-III;diesel;RT >14-20t;HGV D Euro-III;659932.5;0.001426681;3813716507;3818577194;380408783;1399163008;1299316287;1503010988;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423510;RT >20-26t Euro-I;diesel;RT >20-26t;HGV D Euro-I;1281293;5.47E-05;3817467117;3818581009;3815283585;2004661083;1831713319;2223878384;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423530;RT >20-26t Euro-III;diesel;RT >20-26t;HGV D Euro-III;1103041.25;0.001076686;3818114853;3818581009;3817183304;2133043289;2016686201;2279738188;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423610;RT >26-28t Euro-I;diesel;RT >26-28t;HGV D Euro-I;1136962375;2.33E-06;3813260269;3818571854;3810723495;203242135;172852695;2377577543;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423630;RT >26-28t Euro-III;diesel;RT >26-28t;HGV D Euro-III;955644.25;6.03E-05;3817493057;3818581009;3815318298;2179886818;2021953106;2363861561;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423710;RT >28-32t Euro-I;diesel;RT >28-32t;HGV D Euro-I;9900909375;3.23E-05;3814865494;3818579483;3812159729;2338990211;1979828715;2757489204;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423730;RT >28-32t Euro-III;diesel;RT >28-32t;HGV D Euro-III;851132.75;0.000873261;3815367126;3818581009;3808944321;2368250608;2133343458;2633497953;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423810;RT >32t Euro-I;diesel;RT >32t;HGV D Euro-I;929472625;4.30E-05;3815382767;3818579483;3815419388;250834012;2088922977;299855423;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1423830;RT >32t Euro-III;diesel;RT >32t;HGV D Euro-III;7904194375;0.000696347;381552124;3818581009;3809408569;2521544218;224415946;2837949276;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1425110;TT/AT >20-28t Euro-I;diesel;TT/AT >20-28t;HGV D Euro-I;6467338125;0.000163136;3818534851;3818581009;3818458176;1824849606;1778595924;1900868058;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1425130;TT/AT >20-28t Euro-III;diesel;TT/AT >20-28t;HGV D Euro-III;5940061875;0.003172648;3818581009;3818581009;3818581009;2159649611;217122817;2176892519;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1425210;TT/AT >28-34t Euro-I;diesel;TT/AT >28-34t;HGV D Euro-I;5422604375;1.36E-05;3813226318;3818563461;3805693436;2145125151;1793346524;2563398361;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1425230;TT/AT >28-34t Euro-III;diesel;TT/AT >28-34t;HGV D Euro-III;4977539688;0.000231288;3816505051;3818581009;3813729477;2322876215;2132352352;2547079802;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1425310;TT/AT >34-40t Euro-I;diesel;TT/AT >34-40t;HGV D Euro-I;1579901125;8.32E-05;3813783264;3818572617;3807258606;249958396;2042083025;3054482937;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0;1425330;TT/AT >34-40t Euro-III;diesel;TT/AT >34-40t;HGV D Euro-III;1447086.75;0.004030999;3814850998;3818581009;3807407761;2665454388;2402406693;2977925539;3816640472;3818578339;3813743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423110;RT <=7.5t Euro-I;diesel;RT ≤7.5t;HGV D Euro-I;790268;0.001992239;1236620617;1237195396;123548317;3586855888;3382133245;3798745632;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423130;RT <=7.5t Euro-III;diesel;RT ≤7.5t;HGV D Euro-III;6860098125;0.016024211;1235961056;1237185574;1234478378;3271456003;3105268955;3434927702;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423210;RT >7.5-12t Euro-I;diesel;RT >7.5-12t;HGV D Euro-I;1007905438;0.000396565;1231116295;1236195564;1226998615;3704768658;3419914007;3978719234;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423230;RT >7.5-12t Euro-III;diesel;RT >7.5-12t;HGV D Euro-III;8709678125;0.003007169;1233217525;1237195396;122903595;3570373535;3397768497;3731914997;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423310;RT >12-14t Euro-I;diesel;RT >12-14t;HGV D Euro-I;3946534063;7.00E-05;1226713085;123128376;1222812843;3991213322;3715731144;4249778748;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423330;RT >12-14t Euro-III;diesel;RT >12-14t;HGV D Euro-III;3448577188;0.000289917;1229418373;1236174297;121998415;3853406668;3614187241;408114624;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/St+Go;0;1423410;RT >14-20t Euro-I;diesel;RT >14-20t;HGV D Euro-I;7660401875;0.000115294;1217180634;1223037338;121204071;4319343567;3967600584;4678544044;1230854416;1237026978;1223582363;1383059025;1224091887;1531225443;;;;;;;;
