Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;EFA;EFA_weighted;EFA_km;EFA_km_weighted
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,0-1h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.76;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,0-1h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.52;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,1-2h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;2.28;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,1-2h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.57;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,2-3h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;3.80;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,2-3h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;2.62;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,3-4h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;5.32;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,3-4h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;3.67;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,4-5h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;6.84;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,4-5h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;4.72;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,5-6h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;8.36;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,5-6h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;5.77;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,6-7h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;9.88;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,6-7h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;6.82;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,7-8h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;11.40;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,7-8h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;7.87;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,8-9h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;12.92;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,8-9h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;8.92;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,9-10h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;14.44;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,9-10h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;9.97;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,10-11h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;15.96;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,10-11h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;11.02;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,11-12h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;17.48;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,11-12h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.07;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,>12h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;18.25;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,>12h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.60;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,0-1h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.98;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,0-1h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.38;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,1-2h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;5.94;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,1-2h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;4.16;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,2-3h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;9.90;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,2-3h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;6.94;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,3-4h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;13.86;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,3-4h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;9.71;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,4-5h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;17.82;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,4-5h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;12.49;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,5-6h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;21.78;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,5-6h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;15.26;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,6-7h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;25.74;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,6-7h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;18.04;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,7-8h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;29.70;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,7-8h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;20.82;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,8-9h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;33.66;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,8-9h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;23.59;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,9-10h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;37.62;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,9-10h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;26.37;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,10-11h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;41.58;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,10-11h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;29.15;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,11-12h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;45.54;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,11-12h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;31.92;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,>12h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;47.53;;;
2005ColdDetailed[3.1];pass. car;2010;;FC;;Tÿ,>12h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;33.32;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,0-1h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;4.79;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,0-1h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.11;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,1-2h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;5.09;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,1-2h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.11;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,2-3h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;5.39;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,2-3h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.12;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,3-4h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;5.69;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,3-4h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.13;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,4-5h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;5.99;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,4-5h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.13;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,5-6h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;6.29;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,5-6h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.14;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,6-7h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;6.59;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,6-7h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.15;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,7-8h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;6.89;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,7-8h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.16;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,8-9h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;7.19;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,8-9h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.16;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,9-10h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;7.49;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,9-10h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.17;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,10-11h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;7.79;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,10-11h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.18;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,11-12h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;8.09;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,11-12h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.18;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,>12h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;8.24;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,>12h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.19;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,0-1h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;4.80;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,0-1h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.26;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,1-2h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;5.10;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,1-2h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.27;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,2-3h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;5.40;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,2-3h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.29;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,3-4h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;5.70;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,3-4h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.31;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,4-5h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;6.01;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,4-5h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.32;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,5-6h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;6.31;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,5-6h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.34;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,6-7h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;6.61;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,6-7h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.36;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,7-8h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;6.91;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,7-8h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.37;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,8-9h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;7.21;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,8-9h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.39;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,9-10h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;7.51;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,9-10h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.41;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,10-11h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;7.81;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,10-11h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.42;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,11-12h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;8.11;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,11-12h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.44;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,>12h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;8.26;;;
2005ColdDetailed[3.1];pass. car;2010;;HC;;Tÿ,>12h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.45;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,0-1h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;17.66;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,0-1h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.71;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,1-2h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;19.30;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,1-2h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.77;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,2-3h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;20.94;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,2-3h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.84;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,3-4h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;22.59;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,3-4h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.91;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,4-5h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;24.23;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,4-5h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;0.97;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,5-6h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;25.87;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,5-6h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.04;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,6-7h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;27.51;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,6-7h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.11;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,7-8h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;29.15;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,7-8h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.17;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,8-9h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;30.79;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,8-9h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.24;;;
