Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;EFA;EFA_weighted;EFA_km;EFA_km_weighted
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,9-10h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;32.43;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,9-10h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.30;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,10-11h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;34.07;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,10-11h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.37;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,11-12h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;35.71;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,11-12h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.44;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,>12h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;36.53;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,>12h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.47;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,0-1h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;20.49;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,0-1h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.56;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,1-2h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;22.39;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,1-2h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.71;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,2-3h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;24.29;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,2-3h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;1.85;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,3-4h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;26.20;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,3-4h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;2.00;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,4-5h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;28.10;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,4-5h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;2.14;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,5-6h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;30.00;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,5-6h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;2.29;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,6-7h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;31.91;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,6-7h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;2.43;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,7-8h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;33.81;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,7-8h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;2.58;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,8-9h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;35.71;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,8-9h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;2.72;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,9-10h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;37.62;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,9-10h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;2.87;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,10-11h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;39.52;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,10-11h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;3.02;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,11-12h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;41.42;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,11-12h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;3.16;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,>12h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;42.38;;;
2005ColdDetailed[3.1];pass. car;2010;;CO;;Tÿ,>12h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;3.23;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,0-1h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.03;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,0-1h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,1-2h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.03;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,1-2h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,2-3h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.03;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,2-3h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,3-4h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.03;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,3-4h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,4-5h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.03;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,4-5h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,5-6h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.03;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,5-6h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,6-7h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.03;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,6-7h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,7-8h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,7-8h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,8-9h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,8-9h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,9-10h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,9-10h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,10-11h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,10-11h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,11-12h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,11-12h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,>12h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,>12h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.01;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,0-1h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.09;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,0-1h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,1-2h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.09;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,1-2h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,2-3h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.09;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,2-3h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,3-4h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.09;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,3-4h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,4-5h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.08;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,4-5h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,5-6h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.08;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,5-6h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,6-7h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.08;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,6-7h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,7-8h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.08;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,7-8h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,8-9h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.07;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,8-9h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,9-10h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.07;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,9-10h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,10-11h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.07;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,10-11h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,11-12h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.07;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,11-12h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.02;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,>12h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.07;;;
2005ColdDetailed[3.1];pass. car;2010;;NO2;;Tÿ,>12h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-0.03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,0-1h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.37;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,0-1h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-9.95462643913925e-04;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,1-2h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.34;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,1-2h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.00303755607456e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,2-3h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.30;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,2-3h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.01072469260544e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,3-4h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.27;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,3-4h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.01852789521217e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,4-5h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.24;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,4-5h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.02644844446331e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,5-6h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.21;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,5-6h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.03448936715722e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,6-7h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.17;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,6-7h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.04265310801566e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,7-8h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.14;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,7-8h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.05094257742167e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,8-9h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.10;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,8-9h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.05936068575829e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,9-10h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.07;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,9-10h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.06791139114648e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,10-11h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.04;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,10-11h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.0765966726467e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,11-12h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;1.00;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,11-12h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.08541897498071e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,>12h,0-1km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;0.98;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,>12h,0-1km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-1.08987872954458e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,0-1h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;2.63;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,0-1h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-4.20942436903715e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,1-2h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;2.56;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,1-2h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-4.24763187766075e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,2-3h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;2.49;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,2-3h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-4.28646896034479e-03;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,3-4h,1-2km;111310;PC petrol >=2L Euro-1;petrol (4S);>=2L;PC-P-Euro-1;50000.00;1.00;2.41;;;
2005ColdDetailed[3.1];pass. car;2010;;NOx;;Tÿ,3-4h,1-2km;121130;PC diesel <1,4L Euro-3;diesel;<1,4L;PC-D-Euro-3;50000.00;1.00;-4.32595936581492e-03;;;
